GUID,Slug,Title,Description,Topics,Link to data,Data type,File format,Publisher,Source,Method of transfer,Volume,Frequency of change,Data Owner,Data agreements,Status,Contact,Data Sharing Agreement Category
a678a1ea-8146-4d8b-83d7-3a0ffe50d058,dft_aadt_aadf_count_data,AADT / AADF count data,Average daily traffic count data by count point and vehicle type,road_traffic_travel_and_parking; network_statistics,https://roadtraffic.dft.gov.uk/regions/1,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
36f7f74f-2684-4af9-beff-8e896cbd936b,ttn_active_lives_survey,Active Lives Survey,Data of walking and cycling activity within the population for recreation,demographic; walking_and_cycling,https://www.sportengland.org/research-and-data/data/active-lives/active-lives-data-tables,Tabular,CSV,telectrac_navman_dft,Telectrac Navman (contracted by DfT),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
a3610591-560f-4b73-94cb-77fc3b8495ea,dft_bdos_fare_data,BODS fare data,This catalogue contains fares data for operators within Bus Open Data Service.,buses,https://data.bus-data.dft.gov.uk/fares/,,XML NeTEx,dpt_for_transport,Department for Transport (DfT),,,,,,Future,,
518a7686-618f-4b13-9abd-8098224cf11b,dft_bdos_location_data,BODS location data,This catalogue contains the live locations of buses within Bus Open Data Service,buses; maps_and_locations,https://data.bus-data.dft.gov.uk/avl/,Real-time,XML - SIRI VM,dpt_for_transport,Department for Transport (DfT),,,Very high (hourly or greater),,,Future,,
e66d7b61-4150-444a-a983-313197c480c0,dft_bdos_timetable_data,BODS timetable data,This contains a detailed granular view of the timetable data within Bus Open Data Service. ,buses; network_statistics,https://data.bus-data.dft.gov.uk/timetable/,,XML - TransxChange,dpt_for_transport,Department for Transport (DfT),,,,,,Future,,
21620f72-ceb3-4cad-a84a-38e29adf24b7,bcc_bristol_car_club_bays,Bristol car club bays,"Car bay locations for various car clubs operating in the West of England, such as Zipcar and Co-wheels",road_traffic_travel_and_parking; maps_and_locations,https://opendata.bristol.gov.uk/datasets/bcc::car-club-bays-1/about,Tabular,CSV + various,bristol_city_council,Bristol City Council,Download & API,,Low (quarterly - annually),,Open Government Licence,Future,,Open
ce0767c8-a243-4d6d-acd9-d1ccacf03d8b,bcc_bristol_car_park_locations,Bristol Car Park locations,"Locations of car parks in Bristol, including Park and Ride car parks. Attributes include car park type, number of spaces, operating times",road_traffic_travel_and_parking; maps_and_locations,https://opendata.bristol.gov.uk/datasets/bcc::designated-car-parks/about,Tabular,CSV + various,bristol_city_council,Bristol City Council,Download & API,,Low (quarterly - annually),,Open Government Licence,Future,,Open
875f3409-7822-4bb4-a98f-2e338731cf0d,bcc_bristol_cycle_network_map,Bristol Cycle Network Map,"A database of existing and proposed cycle routes in Bristol, used by BCC for maintaining and planning the cycle network. It includes the strategic cycle network, location of cycling infrastructure, vehicle and cycle flows, and proposed schemes.",walking_and_cycling; maps_and_locations; transport_planning,https://opendata.bristol.gov.uk/datasets/bcc::cycle-network/about,GIS,CSV + various,bristol_city_council,Bristol City Council,Download & API,,Low (quarterly - annually),,Open Government Licence,Future,,Open
9c27069f-667b-4804-959f-ef642c1f81e9,bcc_bristol_traffic_accidents,Bristol traffic accidents,Bristol road accidents involving personal injury that were reported to police and passed on to the City Council. Damage only accidents are not recorded,road_accidents_and_safety,https://opendata.bristol.gov.uk/datasets/bcc::traffic-accidents-1/about,Tabular,CSV + various,bristol_city_council,Bristol City Council,Download & API,,Low (quarterly - annually),,Open Government Licence,Future,,Open
34ed2dc5-598d-474f-95be-c048fbbc1269,lhc_bristol_traffic_count_data,Bristol traffic count data,Hourly traffic flow data from re - purposed SCOOT traffic counters. These are induction loop counters embedded in roads that detect when a vehicle passes that point. They do not discriminate between vehicle types.,network_statistics; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/explore/dataset/fact-traffic-counts/export/,Tabular,CSV + various,dpt_levelling_housing_and_communites,"Department for Levelling Up, Housing and Communities (DLUHC)",Download & API,,,,Open Government Licence,Future,,Open
