GUID,Slug,Old/new,Title,Description,Topics,Link to data,Data type,File format,Publisher,Source,Volume,Frequency of change,Data Owner,Data agreements,Status,Contact,Data Sharing Agreement Category,Method of access
968e53a2-cbad-4de1-b443-08aecb7eafd7,bus_passengers_by_population,Old,Bus passengers by population,Bus passenger trips by head of population by local authority (England),buses; demographic; network_statistics,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030633/bus0110.ods,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
518a7686-618f-4b13-9abd-8098224cf11b,bods_location_data,Old,BODS location data,This catalogue contains the live locations of buses within Bus Open Data Service,buses; maps_and_locations,https://data.bus-data.dft.gov.uk/avl/,Real-time,XML - SIRI VM,dpt_for_transport,Department for Transport (DfT),,Very high (hourly or greater),,Open Government Licence,Future,,,Download & API
a3610591-560f-4b73-94cb-77fc3b8495ea,bods_fare_data,Old,BODS fare data,This catalogue contains fares data for operators within Bus Open Data Service.,buses,https://data.bus-data.dft.gov.uk/fares/,,XML NeTEx,dpt_for_transport,Department for Transport (DfT),,,,Open Government Licence,Future,,,Download & API
e66d7b61-4150-444a-a983-313197c480c0,bods_timetable_data,Old,BODS timetable data,This contains a detailed granular view of the timetable data within Bus Open Data Service. ,buses; network_statistics,https://data.bus-data.dft.gov.uk/timetable/,,XML - TransxChange,dpt_for_transport,Department for Transport (DfT),,,,Open Government Licence,Future,,,Download & API
8bc49f50-df0c-40f3-8f5b-73d30c01334c,national_public_transport_access_nodes,Old,National Public Transport Access Nodes (NaPTAN),"The data set contains the location of public transport access points. This includes bus stops, ferry terminals, airports, rail stations, coaches, trams, underground and metro stations.",maps_and_locations,https://data.gov.uk/dataset/ff93ffc1-6656-47d8-9155-85ea0b8f2251/national-public-transport-access-nodes-naptan,Tabular,CSV; XML,dpt_for_transport,Department for Transport (DfT),<100MB,Low (quarterly - annually),,Open Government Licence,Future,richard.french@westofengland-ca.gov.uk,Open,Download & API
61ac23c9-9bb2-4f92-b755-24288010e884,rail_passenger_usage,Old,Rail Passenger usage (entries and exits),Rail passenger numbers by rail station (including interchange),maps_and_locations; network_statistics; rail,https://dataportal.orr.gov.uk/statistics/usage/estimates-of-station-usage,Tabular,CSV,office_of_rail_and_road,Office of Rail and Road,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
3a9aff24-01d7-47b8-8b6f-153f6113754a,primary_schools,Old,Primary Schools,Primary schools by school census data,demographic; social,https://get-information-schools.service.gov.uk/Downloads,Tabular,CSV,gov_uk,Gov.UK,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
a31f543e-6e7d-4c8c-bdf3-db0492678f3a,secondary_schools,Old,Secondary Schools,Secondary schools by school census data,demographic; social,https://get-information-schools.service.gov.uk/Downloads,Tabular,CSV,gov_uk,Gov.UK,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
21620f72-ceb3-4cad-a84a-38e29adf24b7,bristol_car_club_bays,Old,Bristol car club bays,"Car bay locations for various car clubs operating in the West of England, such as Zipcar and Co-wheels",maps_and_locations; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/datasets/bcc::car-club-bays-1/about,Tabular,CSV; Various,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download & API
875f3409-7822-4bb4-a98f-2e338731cf0d,bristol_cycle_network_map,Old,Bristol Cycle Network Map,"A database of existing and proposed cycle routes in Bristol, used by BCC for maintaining and planning the cycle network. It includes the strategic cycle network, location of cycling infrastructure, vehicle and cycle flows, and proposed schemes.",maps_and_locations; transport_planning; walking_and_cycling,https://opendata.bristol.gov.uk/datasets/bcc::cycle-network/about,GIS,CSV; Various,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download & API
